Date,MSFT,AAPL,AMZN,GOOG,FB,TSLA,GOOGL,NVDA,CMCSA,ADBE,INTC,CSCO,NFLX,PEP,AVGO,TMUS,TXN,COST,AMGN,CHTR,SBUX,AMAT,INTU,ISRG,AMD,BKNG,MU,LRCX,MDLZ,ADP,GILD,FISV,CSX,ATVI,MELI,ADSK,ADI,ILMN,NXPI,BIDU
02-01-2013,23.0742321,17.01089859,257.3099976,360.2745972,28,7.072000027,361.9869995,11.76362419,16.52323151,38.34000015,16.70752525,15.68402195,13.14428616,54.1373291,25.91423035,16.07381821,25.75866699,84.19480133,72.14385223,78.09999847,23.80440521,10.2700882,57.03652954,165.8399963,2.529999971,638.4000244,6.630000114,34.61386871,22.69903183,42.20100403,30.91434288,20.31999969,17.28642845,10.19395542,80.50646973,36.93999863,35.88788223,55.41999817,26.83071899,104.1200027
03-01-2013,22.76512527,16.79617691,258.480011,360.4838257,27.77000046,6.953999996,362.1972046,11.77286911,16.33878326,37.75,16.66064262,15.76884174,13.79857063,54.16076279,26.04961205,15.95782089,25.42382431,85.05791473,71.6906662,77.98000336,23.96454811,10.2440691,56.84318542,167.8899994,2.49000001,648.7299805,6.900000095,33.94359207,22.67350578,42.36724854,30.86903,20.16749954,17.4492569,10.24981213,80.95655823,36.36999893,35.30877686,55.54999924,26.69574547,104.9800034
04-01-2013,22.33906364,16.32832336,259.1499939,367.6071167,28.76000023,6.880000114,369.3543396,12.16129398,16.33020592,38.13000107,16.53560066,15.79197407,13.71142864,54.23884964,25.8823719,16.12352943,25.36801147,84.78405762,72.00627136,77.59999847,24.1030407,10.2440691,57.28511047,166.7599945,2.589999914,648.4099731,6.960000038,34.02402496,22.75861359,42.74307251,31.18617058,20.17499924,17.94634247,10.39876556,81.00548553,36.36000061,34.68074036,54.75999832,26.35831451,104.6500015
07-01-2013,22.29729652,16.23228073,268.4599915,366.0031433,29.42000008,6.868000031,367.7427368,11.80986691,16.25728989,37.93999863,16.60593796,15.64546967,14.17142868,54.23104477,25.73902512,15.84182549,25.44774818,84.12841034,71.64211273,77.40000153,24.11602783,10.12263203,57.34954453,167.3333282,2.670000076,657.3800049,7.179999828,33.57716751,22.69052887,42.57683945,31.66393089,20.30249977,17.53495979,10.40807438,80.83916473,36.09000015,34.78678894,50.90000153,26.16549301,102.2900009
08-01-2013,22.18033028,16.27596474,266.3800049,365.2808228,29.05999947,6.736000061,367.0170288,11.55091953,16.36881447,38.13999939,16.48090172,15.66089058,13.88000011,54.39502716,25.56381607,15.46069241,25.15276337,83.97074127,71.33460236,77.19999695,24.07274437,9.983847618,56.88796997,168.1433258,2.670000076,657.4199829,7.230000019,33.04985809,22.70754814,42.8225708,31.87808609,20.39999962,17.57781219,10.23119354,81.63167572,36.29999924,34.42789078,52.38999939,25.59667778,101.0899963
09-01-2013,22.3056469,16.02158546,266.3500061,367.6818237,30.59000015,6.728000164,369.4294434,11.29196739,16.48033524,38.65999985,16.76222229,15.65317535,13.70142937,54.66833115,26.12924385,15.56011868,25.51151848,84.01222992,71.75539398,78.59999847,23.64426422,10.13130569,57.38648224,168.9100037,2.630000114,651.5900269,7.309999943,33.32691956,23.02245522,42.7141571,32.07168579,20.70999908,17.60352325,10.18464565,84.63552856,36.66999817,34.33818054,52.52999878,25.94375229,104.3399963
10-01-2013,22.10514832,16.22020149,265.3399963,369.3555603,31.29999924,6.705999851,371.1111145,11.31046295,16.51465797,38.61999893,17.03573036,15.76113033,14,55.29301071,26.69468117,16.12352943,25.85433388,83.60557556,71.05947113,79,23.60531235,10.09660816,57.61728668,169.6233368,2.619999886,653.6199951,7.420000076,33.82740402,23.24374962,42.87316132,32.10050201,20.79999924,17.60352325,10.17533875,84.43003082,36.52000046,34.75414658,53.63999939,27.29348373,110.5699997
11-01-2013,22.41425323,16.12073708,267.9400024,368.6133423,31.71999931,6.581999779,370.3653564,11.29196739,16.49750137,38.09000015,17.19202614,15.79197407,14.47000027,55.34767532,27.34771347,15.80868244,25.84635544,83.22380829,70.37161255,78.38999939,23.80872536,10.1573267,57.81115723,168.6666718,2.670000076,655.4899902,7.539999962,34.354702,23.33736992,42.9454422,32.15815353,20.74500084,17.60352325,10.72459793,84.69419861,36.79999924,34.46867371,52.68000031,26.99461555,112.9700012
14-01-2013,22.46438026,15.54599094,272.730011,360.2745972,30.95000076,6.65199995,361.9869995,11.28272057,16.69481468,38.15999985,17.19202614,16.16981125,14.77857113,55.66784286,27.53087616,15.75897026,25.78258514,83.29851532,70.33924103,78.18000031,23.66157722,10.19202328,57.86654663,170.906662,2.640000105,662.9199829,7.599999905,34.15808487,23.38843155,42.93821335,32.03047562,20.72500038,17.69779968,10.7059803,85.08559418,36.83000183,34.45236588,52.61999893,27.35133171,112.6399994
15-01-2013,22.73171043,15.05552101,271.8999939,361.1114807,30.10000038,6.78000021,362.8278198,11.07926273,16.81492424,38.15000153,17.09825134,16.17752075,14.52714252,55.90988922,26.97340775,15.87496567,25.73474693,83.94581604,68.85025024,78.31999969,23.5793457,10.20937061,58.11582565,167.863327,2.680000067,663.3499756,7.599999905,34.03297043,23.58418846,42.74307251,31.86161995,20.11750031,17.80920982,10.77114773,85.34979248,36.70999908,34.27292252,51.61999893,27.27420807,111.6600037
16-01-2013,22.58969307,15.68045902,268.9299927,356.2596436,29.85000038,6.820000172,357.9529419,11.18099213,16.8063488,37.88000107,17.27798462,16.2160759,13.92571354,55.8162117,27.52291489,15.46069241,25.9181118,84.26119995,68.23521423,78.33999634,23.5230732,10.34815884,58.11582565,166.1666718,2.720000029,667.8400269,7.670000076,34.2474556,23.67781067,42.51900482,31.78336906,20.11750031,17.8434906,10.63150311,84.92904663,36.72999954,34.32187271,50.59000015,28.24794006,109.9300003
17-01-2013,22.76512527,15.57480812,270.480011,354.3318787,30.13999939,6.875999928,356.0160217,11.32896137,17.13664055,37.72999954,17.72341728,16.15438461,13.95714283,56.55802155,27.72200584,15.59325981,26.42834854,83.78816223,67.92771912,78.94999695,23.58799744,10.75583553,58.75283051,171.3999939,2.74000001,669.8900146,7.809999943,35.81147385,23.88207817,42.76474762,31.931633,20.27000046,17.90348816,10.63150311,85.81942749,37.33000183,35.12118912,51.59000015,28.90352249,108.4300003
18-01-2013,22.76512527,15.4917717,272.1199951,350.9396057,29.65999985,6.903999805,352.607605,11.25497723,17.2739048,37.97999954,16.60593796,16.2083683,14.16714287,56.59706497,27.42734528,15.57668877,26.72332001,83.98733521,66.42253113,78.83000183,23.72217369,10.97268677,58.78976059,169.4433289,2.460000038,672.7199707,7.889999866,35.85616302,23.89909935,43.16226196,32.24053574,20.30999947,17.92062378,10.57564735,86.34778595,37.5,35.12118912,51.02999878,28.56608391,109.8399963
22-01-2013,22.6815834,15.6395607,270.1900024,350.1226501,30.72999954,7.038000107,351.7867737,11.19949055,17.07658577,37.95000076,16.54341698,16.09269714,13.97285748,56.37841797,27.42734528,15.60983086,26.67548561,84.77574921,67.40171814,78.81999969,23.80007172,11.02473354,58.88208008,172.8300018,2.450000048,671.2700195,7.840000153,35.8204155,23.45653152,43.33570862,32.0881424,20.43250084,17.83492279,10.61288452,85.6628952,36.54999924,35.19458771,50.75,28.16117096,108.9100037
23-01-2013,23.06588173,15.92585182,268.1099854,369.3655396,30.81999969,7.199999809,371.1211243,11.2179842,17.15808487,38.25,16.49653053,15.89992809,14.7514286,56.07387161,27.41142082,15.80868244,26.37253952,84.75084686,67.22367096,78.94999695,23.57069397,11.01605701,58.78052521,189.0200043,2.730000019,672.2600098,7.78000021,35.83828354,23.65227699,43.04663086,31.64745331,20.30750084,18.58055115,10.52909946,85.6628952,36.86000061,35.35771179,50.59999847,28.44075394,108.3000031
24-01-2013,23.08258438,13.95808983,273.4599915,375.6968079,31.07999992,7.397999763,377.4824829,11.27347088,16.97792435,38.11000061,16.37149811,16.2083683,20.97999954,56.40185928,27.02119446,16.12352943,26.38051224,85.38989258,66.8595047,79.22000122,23.61829567,10.92931747,58.91902161,193.6666718,2.789999962,679.5499878,7.829999924,35.31993484,23.68631935,43.15504074,32.28995132,20.10000038,18.93193054,10.56633759,85.829216,37.59999847,35.42296982,50.95000076,28.45039749,107.9199982
25-01-2013,23.29144478,13.62904263,283.9899902,375.4277954,31.54000092,7.395999908,377.2122192,11.47692966,17.05513382,38.31999969,16.37931252,16.30860329,24.22285652,56.60487747,27.20436096,16.09038925,26.14930725,84.95002747,67.50691986,80.68000031,24.58778191,11.12882233,58.81745148,192.6066742,2.849999905,718.8200073,7.869999886,37.39336014,23.64376831,43.28512573,32.68534088,20.21249962,19.06049347,10.60357666,87.31645966,38.99000168,35.72475433,52.06000137,29.00957298,108.0100021
28-01-2013,23.31650352,13.93732834,276.0400085,373.9632874,32.47000122,7.605999947,375.7407532,11.66189384,16.97364235,38.24000168,16.44964027,16.23920631,23.15857124,56.69857788,27.45919609,16.17324448,26.34064293,85.05791473,69.26295471,82.23999786,24.24586678,11.24158478,58.97439957,192.6433258,2.819999933,704.9799805,7.820000172,37.30399323,23.66930008,43.1044426,32.4876442,20.19499969,19.12904549,10.61288452,85.7802887,38.86000061,35.91233063,51.61999893,29.40485001,111.3899994
29-01-2013,23.4000473,14.19882584,260.3500061,375.4328003,30.79000092,7.590000153,377.2172241,11.4121933,16.77632141,38.52000046,16.62937546,16.02330208,24.15999985,56.9562645,27.53087616,16.15667152,26.21227455,85.779953,70.0721817,81.5,24.06408691,11.10279942,58.97439957,191.4766693,2.74000001,700.289978,7.579999924,37.29504395,23.68631935,43.55977631,32.86655426,20.23500061,19.30045891,10.63150311,85.22257996,38.86000061,36.01022339,50.20000076,28.45039749,109.4499969
30-01-2013,23.2663765,14.15421104,272.7600098,375.5075073,31.23999977,7.504000187,377.2922974,11.39369583,16.74200439,37.93999863,16.69971085,15.86908245,23.95714378,57.16709518,27.91313171,16.40523529,26.33262062,85.09111023,69.09300995,81.62999725,24.23721313,11.15484524,58.21737289,191,2.650000095,695.0900269,7.650000095,37.21461868,23.60121346,42.9815712,32.82537842,20.22999954,18.9662056,10.52909946,83.77449036,38.72999954,36.02653122,50.86999893,28.90352249,108.9800034
31-01-2013,22.93220901,14.1126976,265.5,376.434021,30.97999954,7.501999855,378.2232361,11.33821106,16.33449936,37.83000183,16.44183159,15.86137104,23.6057148,56.8859787,28.48653412,16.62065887,26.54123306,84.93341064,69.15774536,77.97000122,24.28915024,11.19821262,57.58959579,191.4600067,2.599999905,685.4699707,7.559999943,36.76774979,23.65227699,42.85148239,32.49588776,20.07749939,18.88050842,10.61288452,86.49456787,38.88000107,35.59424591,50.63000107,28.92280388,108.3000031
01-02-2013,23.33321762,14.0547533,265,386.3518677,29.72999954,7.659999847,388.1882019,11.43993855,16.55755234,38.34000015,16.69189262,16.06185722,23.54285622,56.7454071,28.87675667,16.38866615,27.05472565,86.43557739,69.83750916,78.04000092,24.60942078,11.42373943,58.06964874,194.5566711,2.599999905,685.5599976,7.829999924,37.28610992,24.01825142,43.83440781,33.41021729,20.33749962,18.78623772,10.84562397,85.51611328,38.93999863,36.43436432,51.5,29.65551567,108.6100006
04-02-2013,22.92385292,13.70464039,259.980011,378.092804,28.11000061,7.547999859,379.8898926,11.24572659,16.38168335,38.09999847,16.53560066,16.05414391,24.96285629,56.57362747,28.0166626,16.40523529,26.69367409,85.04962921,69.38433838,76.66999817,24.27615738,11.27627945,57.32185745,191.2033386,2.519999981,679.289978,7.760000229,37.50060272,23.72887611,43.03939438,32.61122131,20.02249908,18.55483246,10.79907799,84.27349854,38.52999878,35.92865753,50.59999847,28.29614449,107.1999969
05-02-2013,22.97398376,14.18550587,266.8900146,381.4402771,28.63999939,7.625999928,383.2532654,11.50467777,16.83208466,38.50999832,16.72912216,16.25462914,24.91285706,57.12025833,28.19983101,16.2229557,27.07879257,85.73846436,70.02362061,81.52999878,24.41518593,11.64059353,58.22660446,191.2033386,2.599999905,691.5700073,7.869999886,38.06364822,23.78845596,44.2536087,33.39373779,20.20249939,18.54626274,11.03181553,85.15407562,39.06000137,36.4425087,51,28.74926949,96.37000275
06-02-2013,22.84031296,14.17032528,262.2200012,383.6470032,29.04999924,7.834000111,385.470459,11.4121933,16.61331558,38.40000153,16.57905006,16.33944893,26.34428596,56.82353592,28.38300514,16.07381821,26.92635155,84.62754822,70.0721817,81.05000305,24.35002136,11.62324047,58.07889175,190.6266632,2.599999905,694.0999756,7.949999809,38.04578018,23.83101082,43.92114258,32.87480545,20.07999992,18.486269,11.11560154,85.75095367,38.70999908,36.49145508,51.81999969,29.35664749,98.37000275
07-02-2013,22.79019165,14.59166527,260.230011,385.5299377,28.64999962,7.895999908,387.3623657,11.36595058,16.56612778,38.06999969,16.43687248,16.27004814,25.99428558,56.85474396,27.84146118,16.20638466,26.81402588,84.75239563,68.96353912,80.62999725,24.26747322,11.5365057,57.46957016,190.1100006,2.569999933,690.6900024,7.730000019,37.88490295,23.86505508,43.72600174,33.24547577,19.98999977,18.61482811,11.2273159,83.98973846,38.65000153,36.20597076,51.29999924,29.38557053,96.26999664
08-02-2013,23.01575851,14.80232811,261.9500122,391.2186279,28.54999924,7.84800005,393.078064,11.43993855,16.62189674,39.11999893,16.58694649,16.3163166,25.85285759,56.6907692,28.12816429,16.40523529,27.50403404,85.53457642,70.21785736,80.88999939,24.48903847,11.80539799,56.78639603,192.9166718,2.589999914,700.8300171,7.75,38.08153915,23.62674522,44.0367775,33.69029617,20.12000084,18.8290863,12.48410416,81.9252243,38.88999939,37.27445221,50.88000107,30.81242561,96.86000061
